ltf,order,closed,slow_ema,expected_profit,actual_profit,price,ask,name,symbol,htf,volume,deal,lcc,hcc,fast_ema,win,date,bid
TIMEFRAME_M1,884069400,False,20,0,0,1538.86,1538.86,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,111347920,100,100,8,False,2024-05-01 02:50:00.000000,1538.41
TIMEFRAME_M1,849393840,False,20,0,0,213569.33,213569.33,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,115103677,100,100,8,False,2024-05-01 02:50:00.000000,213517.79
TIMEFRAME_M1,882006833,False,20,0,0,2214.006,2214.158,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,183786604,100,100,8,False,2024-05-01 02:50:00.000000,2214.006
TIMEFRAME_M1,865785906,False,20,0,0,2214.006,2214.158,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,105800841,100,100,8,False,2024-05-01 02:50:00.000000,2214.006
TIMEFRAME_M1,881935501,False,20,0,0,1538.41,1538.86,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,110812559,100,100,8,False,2024-05-01 02:50:00.000000,1538.41
TIMEFRAME_M1,816381287,False,20,0,0,6264.073,6264.247,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,198698612,100,100,8,False,2024-05-01 02:50:00.000000,6264.073
TIMEFRAME_M1,831337439,False,20,0,0,213569.33,213569.33,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,160098949,100,100,8,False,2024-05-01 02:55:00.000000,213517.79
TIMEFRAME_M1,837527099,False,20,0,0,1538.11,1538.56,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,181578776,100,100,8,False,2024-05-01 02:55:00.000000,1538.11
TIMEFRAME_M1,831923656,False,20,0,0,2213.029,2213.029,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,180311728,100,100,8,False,2024-05-01 02:55:00.000000,2212.877
TIMEFRAME_M1,873930819,False,20,0,0,6264.196,6264.37,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,192626625,100,100,8,False,2024-05-01 02:55:00.000000,6264.196
TIMEFRAME_M1,825090459,False,20,0,0,2211.905,2212.057,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,137743625,100,100,8,False,2024-05-01 03:00:00.000000,2211.905
TIMEFRAME_M1,842650222,False,20,0,0,6266.085,6266.259,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,166368050,100,100,8,False,2024-05-01 03:00:00.000000,6266.085
TIMEFRAME_M1,863766065,False,20,0,0,214248.02,214248.02,Chaos,Volatility 75 Index,TIMEFRAME_M2,0.001,179586815,100,100,8,False,2024-05-01 03:00:00.000000,214196.48
TIMEFRAME_M1,870920528,False,20,0,0,1541.23,1541.23,Chaos,Volatility 100 Index,TIMEFRAME_M2,0.5,199448844,100,100,8,False,2024-05-01 03:00:00.000000,1540.78
TIMEFRAME_M1,832573477,False,20,0,0,2212.057,2212.057,Chaos,Volatility 25 Index,TIMEFRAME_M2,0.5,164682862,100,100,8,False,2024-05-01 03:00:00.000000,2211.905
TIMEFRAME_M1,805442282,False,20,0,0,6266.085,6266.259,Chaos,Volatility 10 Index,TIMEFRAME_M2,0.5,152588856,100,100,8,False,2024-05-01 03:00:00.000000,6266.085
